,Title,overview,popularity,release_date,runtime,vote_average
0,!Women Art Revolution,"Through intimate interviews, provocative art, and rare, historical film and video footage, this feature documentary reveals how art addressing political consequences of discrimination and violence, the Feminist Art Revolution radically transformed the art and culture of our times.",0.077485,2010-01-01,83.0,4.3
1,'Gator Bait,"Desiree lives deep in the swamp and supports herself and her siblings by poaching. Ben and deputy Billy hope to get a little sexual comfort from the ""Cajun swamp rat"" when they catch Desiree trapping 'gators, and give chase. Desiree outsmarts them but Billy accidentally shoots Ben and tells his sheriff dad that Desiree did it. Ben's dad and sons join them in the search party and quickly get out of control. Soon the hunters become the hunted as Desiree exacts her revenge for their violence against her family.",0.908897,1974-06-01,88.0,6.5
2,'Twas the Night Before Christmas,"When a town learns that Santa Claus has struck it off his delivery schedule due to an insulting letter, a way must be found to change his mind.",1.353059,1974-12-08,25.0,5.9
3,10 Items or Less,"An actor who is considering the role of a supermarket manager arrives at a grocery store on the outskirts of Los Angeles to do some field research. He subsequently becomes stranded, without a car or cell phone, and accepts a ride home with Scarlet, a cashier who is about to interview for a new job. The actor rediscovers the essence of his craft while helping Scarlet gain the confidence she needs to change her life.",3.898236,2006-09-11,81.0,6.6
4,10 Things I Hate About You,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.",12.069966,1999-03-30,97.0,7.3
5,"10,000 BC",A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,13.99377,2008-02-22,109.0,5.1
6,11'09''01 - September 11,11 directors show their view on the terrorist attacks on the world trade center in New York.,3.103918,2002-09-04,135.0,6.1
7,12 + 1,"Mario, a young philanderer, receives 13 antique chairs in a bad state by inheritance and decides to sell off them to get some money. Afterwards he gets to know that one of them contains documents worth a lot of money. So he begins an adventurous trip to regain possession of the chair. On the way he meets many strange people who would like to help or to swindle him.",0.97354,1969-10-06,94.0,5.3
8,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",16.503959,1957-03-25,96.0,8.2
9,12 Angry Men,"During the trial of a man accused of his father's murder, a lone juror takes a stand against the guilty verdict handed down by the others as a result of their preconceptions and prejudices. The film is adapted by Reginald Rose from his own 1957 film version (directed by Sidney Lumet) and from the Westinghouse One television production that predated it. George C. Scott won a Golden Globe for his supporting role; righteous juror Jack Lemmon was denied such an honor for Best Actor, but recipient Ving Rhames (for Don King) dedicated his award to Lemmon.",3.679263,1997-08-17,117.0,7.5
